set_name,basis,tau,n_grounded,n,grounded_ratio
100E_deepseek,semantic,0.1,2000,2000,1.0
100E_deepseek,semantic,0.15,2000,2000,1.0
100E_deepseek,semantic,0.2,2000,2000,1.0
100E_deepseek,semantic,0.25,2000,2000,1.0
100E_deepseek,semantic,0.3,2000,2000,1.0
100E_deepseek,semantic,0.35,2000,2000,1.0
100E_deepseek,semantic,0.4,2000,2000,1.0
100E_deepseek,semantic,0.45,2000,2000,1.0
100E_deepseek,semantic,0.5,2000,2000,1.0
100E_deepseek,semantic,0.55,1978,2000,0.989
100E_deepseek,lexical_baseline,0.1,2000,2000,1.0
100E_deepseek,lexical_baseline,0.15,2000,2000,1.0
100E_deepseek,lexical_baseline,0.2,1954,2000,0.977
100E_deepseek,lexical_baseline,0.25,1468,2000,0.734
100E_deepseek,lexical_baseline,0.3,848,2000,0.424
100E_deepseek,lexical_baseline,0.35,356,2000,0.178
100E_deepseek,lexical_baseline,0.4,112,2000,0.056
100E_deepseek,lexical_baseline,0.45,18,2000,0.009
100E_deepseek,lexical_baseline,0.5,0,2000,0.0
100E_deepseek,lexical_baseline,0.55,0,2000,0.0
100E_gemini,semantic,0.1,2000,2000,1.0
100E_gemini,semantic,0.15,2000,2000,1.0
100E_gemini,semantic,0.2,2000,2000,1.0
100E_gemini,semantic,0.25,2000,2000,1.0
100E_gemini,semantic,0.3,2000,2000,1.0
100E_gemini,semantic,0.35,2000,2000,1.0
100E_gemini,semantic,0.4,2000,2000,1.0
100E_gemini,semantic,0.45,2000,2000,1.0
100E_gemini,semantic,0.5,2000,2000,1.0
100E_gemini,semantic,0.55,1978,2000,0.989
100E_gemini,lexical_baseline,0.1,2000,2000,1.0
100E_gemini,lexical_baseline,0.15,2000,2000,1.0
100E_gemini,lexical_baseline,0.2,1954,2000,0.977
100E_gemini,lexical_baseline,0.25,1468,2000,0.734
100E_gemini,lexical_baseline,0.3,848,2000,0.424
100E_gemini,lexical_baseline,0.35,356,2000,0.178
100E_gemini,lexical_baseline,0.4,112,2000,0.056
100E_gemini,lexical_baseline,0.45,18,2000,0.009
100E_gemini,lexical_baseline,0.5,0,2000,0.0
100E_gemini,lexical_baseline,0.55,0,2000,0.0
BK21_deepseek,semantic,0.1,1000,1000,1.0
BK21_deepseek,semantic,0.15,1000,1000,1.0
BK21_deepseek,semantic,0.2,1000,1000,1.0
BK21_deepseek,semantic,0.25,1000,1000,1.0
BK21_deepseek,semantic,0.3,1000,1000,1.0
BK21_deepseek,semantic,0.35,1000,1000,1.0
BK21_deepseek,semantic,0.4,1000,1000,1.0
BK21_deepseek,semantic,0.45,1000,1000,1.0
BK21_deepseek,semantic,0.5,1000,1000,1.0
BK21_deepseek,semantic,0.55,996,1000,0.996
BK21_deepseek,lexical_baseline,0.1,1000,1000,1.0
BK21_deepseek,lexical_baseline,0.15,1000,1000,1.0
BK21_deepseek,lexical_baseline,0.2,1000,1000,1.0
BK21_deepseek,lexical_baseline,0.25,1000,1000,1.0
BK21_deepseek,lexical_baseline,0.3,950,1000,0.95
BK21_deepseek,lexical_baseline,0.35,698,1000,0.698
BK21_deepseek,lexical_baseline,0.4,362,1000,0.362
BK21_deepseek,lexical_baseline,0.45,136,1000,0.136
BK21_deepseek,lexical_baseline,0.5,42,1000,0.042
BK21_deepseek,lexical_baseline,0.55,12,1000,0.012
